Address:,USB0::0x2A8D::0x0396::CN60117105::0::INSTR,,Analog Channels,,,
Model:,DSOX1204G,,Time (s),1 (VOLT),3 (VOLT),
,,,0.116318529512,0.40201011300087,-0.403266414999962,
,,,0.116427029729,0,-0.604271441698074,
,,,0.116535529946,0.80402022600174,-0.403266414999962,
,,,0.116644030163,0.40201011300087,-0.403266414999962,
,,,0.11675253038,0,-0.604271441698074,
,,,0.116861030597,0.40201011300087,-0.604271441698074,
,,,0.116969530814,0.40201011300087,-0.604271441698074,
,,,0.117078031031,0,-0.403266414999962,
,,,0.117186531248,0.40201011300087,-0.403266414999962,
,,,0.117295031465,0.40201011300087,-0.604271441698074,
,,,0.117403531682,0,-0.403266414999962,
,,,0.117512031899,0.40201011300087,-0.403266414999962,
,,,0.117620532116,0.40201011300087,-0.604271441698074,
,,,0.117729032333,0.40201011300087,-0.403266414999962,
,,,0.11783753255,0.40201011300087,-0.403266414999962,
,,,0.117946032767,0.40201011300087,-0.403266414999962,
,,,0.118054532984,0,-0.604271441698074,
,,,0.118163033201,0.40201011300087,-0.604271441698074,
,,,0.118271533418,0.40201011300087,-0.604271441698074,
,,,0.118380033635,0,-0.403266414999962,
,,,0.118488533852,0.40201011300087,-0.403266414999962,
,,,0.118597034069,0.40201011300087,-0.403266414999962,
,,,0.118705534286,0.40201011300087,-0.604271441698074,
,,,0.118814034503,0.40201011300087,-0.403266414999962,
,,,0.11892253472,0.40201011300087,-0.403266414999962,
,,,0.119031034937,0,-0.403266414999962,
,,,0.119139535154,0.40201011300087,-0.403266414999962,
,,,0.119248035371,0.40201011300087,-0.403266414999962,
,,,0.119356535588,0,-0.403266414999962,
,,,0.119465035805,0,-0.403266414999962,
,,,0.119573536022,0.40201011300087,-0.403266414999962,
,,,0.119682036239,0.40201011300087,-0.403266414999962,
,,,0.119790536456,0,-0.604271441698074,
,,,0.119899036673,0.40201011300087,-0.403266414999962,
,,,0.12000753689,0,-0.403266414999962,
,,,0.120116037107,0.40201011300087,-0.403266414999962,
,,,0.120224537324,0,-0.403266414999962,
,,,0.120333037541,0,-0.403266414999962,
,,,0.120441537758,-0.40201011300087,-0.202261388301849,
,,,0.120550037975,0.40201011300087,-0.403266414999962,
,,,0.120658538192,0,-0.403266414999962,
,,,0.120767038409,0.40201011300087,-0.403266414999962,
,,,0.120875538626,0,-0.403266414999962,
,,,0.120984038843,0.40201011300087,-0.604271441698074,
,,,0.12109253906,0.40201011300087,-0.604271441698074,
,,,0.121201039277,0.40201011300087,-0.403266414999962,
,,,0.121309539494,0,-0.604271441698074,
,,,0.121418039711,0.40201011300087,-0.403266414999962,
,,,0.121526539928,0,-0.403266414999962,
,,,0.121635040145,0.40201011300087,-0.403266414999962,
,,,0.121743540362,0,-0.604271441698074,
,,,0.121852040579,0,-0.403266414999962,
,,,0.121960540796,0.40201011300087,-0.403266414999962,
,,,0.122069041013,0,-0.604271441698074,
,,,0.12217754123,0.40201011300087,-0.604271441698074,
,,,0.122286041447,0,-0.604271441698074,
,,,0.122394541664,0.40201011300087,-0.604271441698074,
,,,0.122503041881,0,-0.604271441698074,
,,,0.122611542098,0.40201011300087,-0.604271441698074,
,,,0.122720042315,0.40201011300087,-0.604271441698074,
,,,0.122828542532,0.40201011300087,-0.604271441698074,
,,,0.122937042749,0,-0.604271441698074,
,,,0.123045542966,0,-0.604271441698074,
,,,0.123154043183,0,-0.604271441698074,
,,,0.1232625434,0,-0.604271441698074,
,,,0.123371043617,0.40201011300087,-0.604271441698074,
